,0
0,3.8725283e-08
1,3.71162e-08
2,3.1256455e-08
3,-2.6010838e-09
4,-7.499175e-09
5,2.2948077e-08
6,3.3154983e-08
7,1.01943144e-07
8,1.1653514e-08
9,5.05378e-08
10,-5.015902e-11
11,4.803826e-08
12,3.8827864e-08
13,2.3698776e-08
14,2.493189e-08
15,8.708408e-08
16,6.1358065e-08
17,1.242335e-07
18,1.3485581e-08
19,1.3900909e-07
20,1.2016055e-07
21,1.1942564e-07
22,8.6263505e-08
23,5.9791276e-08
24,7.244251e-08
25,3.7864233e-08
26,-6.964154e-05
27,-3.1551204e-09
28,1.029754e-08
29,1.7492102e-08
30,3.3266485e-08
31,3.518704e-08
32,-2.6643413e-08
33,-1.397354e-08
34,7.937694e-09
35,1.9844343e-08
36,3.9804412e-08
37,3.7574804e-08
38,9.307279e-08
39,3.6379454e-08
40,1.9754378e-08
41,7.098761e-09
42,-4.1126608e-08
43,-1.1474226e-08
44,-8.869683e-09
45,1.5319412e-08
46,4.5284363e-08
47,7.672861e-08
48,1.1928171e-07
49,1.0285904e-07
50,5.3533917e-08
51,4.913095e-08
52,4.610695e-08
53,6.315359e-08
54,2.7037864e-08
55,6.917671e-08
56,3.6964963e-08
57,7.071464e-08
58,1.1680113e-07
59,4.9663594e-08
60,8.7233744e-08
61,8.228928e-08
62,7.898772e-08
63,1.2029508e-08
64,-2.7804477e-08
65,-8.203642e-09
66,8.668074e-08
67,-1.712116e-10
68,-2.1061432e-10
69,1.0645896e-08
70,2.8786909e-08
71,3.3473512e-08
72,3.7715576e-08
73,5.5038903e-08
74,-6.5891372e-09
75,2.714398e-08
76,3.1889364e-09
77,5.561358e-08
78,-2.8462045e-08
79,4.4171443e-08
80,9.372037e-08
81,1.422092e-07
82,2.0901103e-08
83,3.172607e-08
84,3.3475132e-08
85,3.3205697e-07
86,7.648452e-08
87,1.1525683e-07
88,4.2664123e-08
89,5.676361e-08
90,8.967592e-08
91,1.0925795e-07
92,6.882646e-08
93,5.182748e-08
94,1.6181402e-10
95,-2.9853684e-08
96,3.0151839e-09
97,4.5536225e-08
98,4.3747537e-08
99,-8.579087e-09
100,-2.4894154e-08
101,1.7814388e-08
102,9.30256e-09
103,2.6715348e-08
104,8.024732e-08
105,6.70215e-08
106,3.3087005e-08
107,7.580822e-08
108,8.366152e-09
109,3.26645e-08
110,4.5786386e-08
111,2.434104e-08
112,1.0019663e-07
113,6.623495e-08
114,1.0650834e-07
115,-1.9310493e-08
116,-2.5285276e-09
117,-1.7386549e-08
118,-5.4054135e-09
119,2.9710444e-08
120,3.530144e-08
121,1.167685e-07
122,7.06372e-08
123,3.79593e-08
124,3.1937446e-08
125,5.7327664e-08
126,-5.0466753e-08
127,-1.7985947e-08
128,-1.12502185e-08
129,-3.7307405e-08
130,-2.3899954e-08
131,1.9508944e-08
132,2.3174755e-08
133,2.3721576e-08
134,1.8075893e-08
135,-1.5944144e-09
136,5.057646e-08
137,4.702559e-08
138,7.1627696e-08
139,8.304605e-08
140,4.5336357e-08
141,4.0108073e-08
142,7.857891e-08
143,6.782443e-07
144,1.026164e-09
145,1.093782e-08
146,8.8512834e-08
147,8.138565e-08
148,1.1177806e-07
149,5.7160864e-08
150,1.705154e-08
151,5.214718e-08
152,6.24799e-08
153,9.841614e-08
154,6.282152e-08
155,9.525513e-09
156,8.24014e-08
157,5.303678e-08
158,2.7670252e-08
159,-4.5952144e-09
160,2.632051e-08
161,8.057347e-10
162,1.800696e-08
163,7.255853e-08
164,2.2713667e-08
165,3.492911e-08
166,3.3585806e-08
167,-5.426401e-08
